"prefix","uid1","uid2","seq1_len","seq2_len","seq12_len","pairwise_identity","dock_protocol","model_rank","model_no.","model","Haddock_score","n_Haddock_cluster","AF_ptm","n_xl_identified","n_xl_found","n_xl_20Ang","n_xl_30Ang","n_xl_35Ang","n_xl_40Ang","n_ecs_tested","n_ecs_5Ang_0.999percentile","n_ecs_10Ang_0.999percentile","n_ecs_15Ang_0.999percentile","n_ecs_30Ang_0.999percentile","fnat_dockq","fnonnat_dockq","iRMS_dockq","LRMS_dockq","DockQ_dockq","kurtosis","skewness","squared_skewness","max_ecs","n_ecs","precent_ecs","N_eff","na_contacts","ca_contacts","Displacement(Ang)","Angle(deg)","LRMS"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","ecs","1","haddock_ecs_40w","haddock_ecs_top1_40w",-51.0908,2," ",7,7,2,5,5,5,45,2,2,14,27,"0.000","1.000","11.753","52.594","0.014",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"50.06","113.81","  53.011"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","ecs","2","haddock_ecs_79w","haddock_ecs_top2_79w",-49.0849,2," ",7,7,2,5,5,5,45,3,3,14,27,"0.000","1.000","10.809","52.092","0.015",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"49.78","112.98","  52.588"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","ecs","3","haddock_ecs_26w","haddock_ecs_top3_26w",-47.9895,2," ",7,7,2,5,5,5,45,3,3,14,26,"0.000","1.000","10.971","50.974","0.015",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"48.27","113.24","  51.246"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","ecs","4","haddock_ecs_90w","haddock_ecs_top4_90w",-47.51487,2," ",7,7,2,5,5,5,45,1,1,13,26,"0.000","1.000","11.258","52.056","0.014",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"49.55","108.73","  52.307"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","ecs","5","haddock_ecs_62w","haddock_ecs_top5_62w",-46.606,2," ",7,7,2,5,5,5,45,3,3,14,28,"0.000","1.000","9.548","50.420","0.017",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"47.98","108.85","  50.806"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","ecs","6","haddock_ecs_72w","haddock_ecs_top6_72w",-44.8536,2," ",7,7,2,5,5,5,45,2,2,13,26,"0.000","1.000","11.636","53.040","0.014",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"50.62","112.95","  53.359"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","ecs","7","haddock_ecs_37w","haddock_ecs_top7_37w",-43.4236,2," ",7,7,2,4,5,5,45,3,3,13,25,"0.000","1.000","11.938","53.661","0.013",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"51.39","113.13","  54.041"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","ecs","8","haddock_ecs_80w","haddock_ecs_top8_80w",-42.3021,2," ",7,7,1,4,5,5,45,1,2,13,26,"0.000","1.000","12.491","53.866","0.013",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"51.26","118.17","  54.225"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","ecs","9","haddock_ecs_16w","haddock_ecs_top9_16w",-42.0116,2," ",7,7,2,5,5,5,45,1,2,14,26,"0.000","1.000","11.830","51.851","0.014",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"49.01","116.85","  52.118"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","ecs","10","haddock_ecs_10w","haddock_ecs_top10_10w",-39.0488,2," ",7,7,3,4,5,5,45,0,0,10,28,"0.000","1.000","15.236","65.730","0.009",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"63.59","163.53","  66.534"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","ecs","clust_1","haddock_ecs_40w","haddock_ecs_clust1_40w",-51.0908,2," ",7,7,2,5,5,5,45,2,2,14,27,"0.000","1.000","11.753","52.594","0.014",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"50.06","113.81","  53.011"
