"prefix","uid1","uid2","seq1_len","seq2_len","seq12_len","pairwise_identity","dock_protocol","model_rank","model_no.","model","Haddock_score","n_Haddock_cluster","AF_ptm","n_xl_identified","n_xl_found","n_xl_20Ang","n_xl_30Ang","n_xl_35Ang","n_xl_40Ang","n_ecs_tested","n_ecs_5Ang_0.999percentile","n_ecs_10Ang_0.999percentile","n_ecs_15Ang_0.999percentile","n_ecs_30Ang_0.999percentile","fnat_dockq","fnonnat_dockq","iRMS_dockq","LRMS_dockq","DockQ_dockq","kurtosis","skewness","squared_skewness","max_ecs","n_ecs","precent_ecs","N_eff","na_contacts","ca_contacts","Displacement(Ang)","Angle(deg)","LRMS"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","alphafold",0," "," "," "," ",0.513423476566294,7,7,0,0,0,0,50,0,0,5,16,"0.000","1.000","26.895","111.174","0.003",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"109.67","147.92"," 112.392"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","alphafold",1," "," "," "," ",0.506740725436767,7,7,0,0,0,0,50,1,1,7,14,"0.000","1.000","30.343","114.734","0.003",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"112.07","165.18"," 115.825"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","alphafold",2," "," "," "," ",0.418564870948473,7,7,0,0,0,0,50,0,0,5,14,"0.000","1.000","31.501","115.198","0.003",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"113.28","162.50"," 116.300"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","alphafold",3," "," "," "," ",0.408834877073083,7,7,0,0,0,0,50,0,0,7,14,"0.000","1.000","29.502","114.541","0.003",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"112.49","169.38"," 115.998"
"xlmusmito_00000002","ATP5E_MOUSE","ATPA_MOUSE",52,553,605," 4.3","alphafold",4," "," "," "," ",0.3382854952791,7,7,0,0,0,0,50,0,0,4,16,"0.000","1.000","26.794","107.946","0.003",0.988513329825185,0.68913625413829,0.474908776767755,0.061815,16467,0.5726,1012.9,0,3,"106.18","165.79"," 109.148"
"xlmusmito_00000003","CX6B1_MOUSE","NDUA4_MOUSE",86,82,168,"11.4","alphafold",0," "," "," "," ",0.318264970643159,7,7,6,7,7,7,50,0,0,14,32,"0.421","0.857","3.123","13.226","0.300",0.900668626855582,0.448037074987837,0.200737220563657,0.105226,4898,0.6946,192.6,38,419,"4.90","27.16","   6.989"
"xlmusmito_00000003","CX6B1_MOUSE","NDUA4_MOUSE",86,82,168,"11.4","alphafold",1," "," "," "," ",0.310766986423356,7,7,6,7,7,7,50,0,0,14,31,"0.526","0.825","2.679","9.598","0.402",0.900668626855582,0.448037074987837,0.200737220563657,0.105226,4898,0.6946,192.6,38,419,"4.95","20.80","   6.394"
"xlmusmito_00000003","CX6B1_MOUSE","NDUA4_MOUSE",86,82,168,"11.4","alphafold",2," "," "," "," ",0.294925612520205,7,7,5,7,7,7,50,0,0,14,31,"0.579","0.843","2.783","8.799","0.429",0.900668626855582,0.448037074987837,0.200737220563657,0.105226,4898,0.6946,192.6,38,419,"5.29","19.44","   6.400"
"xlmusmito_00000003","CX6B1_MOUSE","NDUA4_MOUSE",86,82,168,"11.4","alphafold",3," "," "," "," ",0.283471211027225,7,7,6,7,7,7,50,0,0,14,33,"0.579","0.845","3.286","17.709","0.313",0.900668626855582,0.448037074987837,0.200737220563657,0.105226,4898,0.6946,192.6,38,419,"8.07","37.99","   9.840"
"xlmusmito_00000003","CX6B1_MOUSE","NDUA4_MOUSE",86,82,168,"11.4","alphafold",4," "," "," "," ",0.251618879748649,7,7,5,7,7,7,50,0,0,19,35,"0.526","0.917","5.066","17.891","0.264",0.900668626855582,0.448037074987837,0.200737220563657,0.105226,4898,0.6946,192.6,38,419,"8.18","35.52","  10.421"
"xlmusmito_00000004","ATP5H_MOUSE","AT5F1_MOUSE",161,256,417,"15.4","alphafold",0," "," "," "," ",0.711277739272195,7,7,3,5,5,5,50,7,7,26,33,"0.724","0.427","1.859","3.638","0.654",2.06917439449489,0.712354831437141,0.507449405871838,0.118464,36015,0.8738,392.5,223,1511,"14.52","6.13","   3.093"
"xlmusmito_00000004","ATP5H_MOUSE","AT5F1_MOUSE",161,256,417,"15.4","alphafold",1," "," "," "," ",0.706530779515281,7,7,3,5,5,5,50,8,8,27,33,"0.737","0.585","1.909","3.746","0.652",2.06917439449489,0.712354831437141,0.507449405871838,0.118464,36015,0.8738,392.5,223,1511,"14.21","4.79","   3.141"
"xlmusmito_00000004","ATP5H_MOUSE","AT5F1_MOUSE",161,256,417,"15.4","alphafold",2," "," "," "," ",0.701493502314473,7,7,3,5,5,5,50,6,6,27,33,"0.737","0.582","1.846","3.659","0.659",2.06917439449489,0.712354831437141,0.507449405871838,0.118464,36015,0.8738,392.5,223,1511,"14.43","4.11","   3.215"
"xlmusmito_00000004","ATP5H_MOUSE","AT5F1_MOUSE",161,256,417,"15.4","alphafold",3," "," "," "," ",0.694824993993705,7,7,3,5,5,5,50,7,7,27,33,"0.730","0.563","1.924","3.849","0.646",2.06917439449489,0.712354831437141,0.507449405871838,0.118464,36015,0.8738,392.5,223,1511,"14.50","7.28","   3.129"
"xlmusmito_00000004","ATP5H_MOUSE","AT5F1_MOUSE",161,256,417,"15.4","alphafold",4," "," "," "," ",0.694128723983099,7,7,3,5,5,5,50,7,7,26,33,"0.730","0.416","1.945","3.730","0.647",2.06917439449489,0.712354831437141,0.507449405871838,0.118464,36015,0.8738,392.5,223,1511,"14.43","6.47","   3.148"
"xlmusmito_00000005","ATPB_MOUSE","ATPA_MOUSE",529,553,1082,"23.7","alphafold",0," "," "," "," ",0.86404598763329,65,65,9,16,21,23,231,8,8,73,113,"0.008","0.994","17.448","24.088","0.042",16.472772331814,1.32867367176299,1.76537372603615,0.315477,230538,0.7881,1579.6,200,1889,"3.45","1.24","  24.278"
"xlmusmito_00000005","ATPB_MOUSE","ATPA_MOUSE",529,553,1082,"23.7","alphafold",1," "," "," "," ",0.863067768851328,65,65,9,16,22,23,231,10,10,74,113,"0.008","0.996","17.460","24.048","0.042",16.472772331814,1.32867367176299,1.76537372603615,0.315477,230538,0.7881,1579.6,200,1889,"2.83","0.94","  24.280"
"xlmusmito_00000005","ATPB_MOUSE","ATPA_MOUSE",529,553,1082,"23.7","alphafold",2," "," "," "," ",0.852620780248787,65,65,9,17,22,25,231,8,8,65,114,"0.000","1.000","23.573","59.360","0.008",16.472772331814,1.32867367176299,1.76537372603615,0.315477,230538,0.7881,1579.6,200,1889,"51.29","121.35","  64.709"
"xlmusmito_00000005","ATPB_MOUSE","ATPA_MOUSE",529,553,1082,"23.7","alphafold",3," "," "," "," ",0.840722258574703,65,65,9,17,22,26,231,10,10,65,115,"0.000","1.000","23.546","59.379","0.008",16.472772331814,1.32867367176299,1.76537372603615,0.315477,230538,0.7881,1579.6,200,1889,"52.01","121.73","  64.704"
"xlmusmito_00000005","ATPB_MOUSE","ATPA_MOUSE",529,553,1082,"23.7","alphafold",4," "," "," "," ",0.813293048049272,65,65,9,16,22,23,231,11,11,73,113,"0.008","0.996","17.391","24.025","0.042",16.472772331814,1.32867367176299,1.76537372603615,0.315477,230538,0.7881,1579.6,200,1889,"2.69","1.12","  24.347"
"xlmusmito_00000006","ATPB_MOUSE","AT5F1_MOUSE",529,256,785,"14.5","alphafold",0," "," "," "," ",0.398249955238318,14,14,0,0,0,0,118,0,0,0,4,"0.000","1.000","34.675","106.527","0.003",3.20006746548469,0.759445610832859,0.576757635813294,0.031582,117355,0.8666,160.2,0,NA,"70.16","79.54","  80.039"
